 Country , Spain , Brazil , France , Germany , Italy , Argentina , Portugal , Belgium , England , Netherlands , Uruguay , Croatia , Colombia , Switzerland , Denmark , Mexico , Senegal , Cote d'Ivoire , Turkey , Poland , Chile , Morocco , Algeria , Nigeria , Japan , USA , Korea Republic , Australia , China PR , Saudi Arabia , Canada , Qatar 
 Spain ,0,0.4,0.57,0.44,0.57,0.5,0.75,0.71,0.42,0.4,1,0.57,1,0.94,0.86,1, NA ,1,0.75,0.89,0.89,1,1,0.5,1,0.8,0.8,1,1,1,1, NA 
 Brazil ,0.6,0,0.5,0.72,0.64,0.53,0.75,0.6,0.73,0.5,0.78,1,0.86,0.6,0.67,0.71, NA ,1,1,0.89,0.86,1,1,1,1,0.95,0.83,0.86,1,1,1,1
 France ,0.43,0.5,0,0.58,0.38,0.33,0.75,0.45,0.32,0.56,0.6,1,0.75,0.57,0.67,0.83,0,1,0.83,0.73,0.5,1,0.25,0.5,0.8,1,1,0.75,0.5,1,1, NA 
 Germany ,0.56,0.28,0.42,0,0.38,0.44,0.77,0.83,0.48,0.57,1,0.71,1,0.8,0.65,0.75, NA , NA ,0.82,0.93,0.75,1,0.33,1,1,0.64,0.5,0.8,1,1,1, NA 
 Italy ,0.43,0.36,0.62,0.63,0,0.55,0.75,0.78,0.58,0.79,0.57,0.25, NA ,0.8,0.8,0.88, NA ,0,1,0.67,0.5,1,1,1,1,0.83,0.5,1,1,1,1, NA 
 Argentina ,0.5,0.47,0.67,0.56,0.45,0,0.71,0.75,0.4,0.43,0.6,0.5,0.72,1,0.67,0.76, NA ,1, NA ,0.67,0.88,1,1,0.75,0.86,0.75,0.75,0.83,0,1,1,1
 Portugal ,0.25,0.25,0.25,0.23,0.25,0.29,0,0.55,0.33,0.8,0.5,1, NA ,0.44,0.79,1, NA , NA ,0.75,0.67,0.5,0.5,1, NA , NA ,0.5,0, NA ,1,1,1, NA 
 Belgium ,0.29,0.4,0.55,0.17,0.22,0.25,0.45,0,0.21,0.43,1,0.4,0.5,0.61,0.45,0.4, NA , NA ,0.5,0.46, NA ,0.67,1, NA ,0.5,0.83,1,1, NA ,0.67,1,1
 England ,0.58,0.27,0.68,0.52,0.42,0.6,0.67,0.79,0,0.58,0.38,0.63,1,0.86,0.8,0.75, NA , NA ,1,0.92,0.5,1, NA ,1,1,0.8, NA ,0.8,1, NA , NA , NA 
 Netherlands ,0.6,0.5,0.44,0.43,0.21,0.57,0.2,0.57,0.42,0,0.67,0.5, NA ,0.5,0.6,0.57, NA ,1,0.63,0.7,1,0.67, NA ,1,1,0.8,1,0.5,1,1,1, NA 
 Uruguay ,0,0.22,0.4,0,0.43,0.4,0.5,0,0.63,0.33,0, NA ,0.59,1,0,0.43, NA , NA ,1,0.5,0.7,1,0,1,0.67,0.33,0.86,0.5,0.67,0.5,1, NA 
 Croatia ,0.43,0,0,0.29,0.75,0.5,0,0.6,0.38,0.5, NA ,0, NA ,0.5,0.6,0.67,1, NA ,0.6,0.75,0,1, NA ,1,0.5, NA ,0.6,0.5,0, NA , NA ,1
 Colombia ,0,0.14,0.25,0, NA ,0.28, NA ,0.5,0, NA ,0.41, NA ,0,0.67, NA ,0.36,1,1,0,0.67,0.38,1,0,1,0.75,0.82,0.2,1,0.67,1,0.75,1
 Switzerland ,0.06,0.4,0.43,0.2,0.2,0,0.56,0.39,0.14,0.5,0,0.5,0.33,0,0.33,0.8, NA ,0,0.33,0.17,0.5,0.25,1,0,0.67,0.75,0.5, NA ,1, NA ,0,0
 Denmark ,0.14,0.33,0.33,0.35,0.2,0.33,0.21,0.55,0.2,0.4,1,0.4, NA ,0.67,0,0.67,1, NA ,0.6,0.58,0,0, NA ,1,0.5,1,1,0.67, NA ,1,1,1
 Mexico ,0,0.29,0.17,0.25,0.13,0.24,0,0.6,0.25,0.43,0.57,0.33,0.64,0.2,0.33,0,1,1, NA ,0.5,0.62,0,1,1,0.8,0.67,0.64,0.33,1,1,0.88, NA 
 Senegal , NA , NA ,1, NA , NA , NA , NA , NA , NA , NA , NA ,0,0, NA ,0,0,0,0.33,0,1, NA ,0.3,0.22,0.38,1, NA ,0.8, NA , NA ,0, NA , NA 
 Cote d'Ivoire ,0,0,0, NA ,1,0, NA , NA , NA ,0, NA , NA ,0,1, NA ,0,0.67,0, NA ,0, NA ,0.5,0.47,0.53,0.5,0,0, NA , NA , NA , NA ,1
 Turkey ,0.25,0,0.17,0.18,0, NA ,0.25,0.5,0,0.38,0,0.4,1,0.67,0.4, NA ,1, NA ,0,0.21,1,0,0.2, NA ,0.5,0.33,0.8,1,1, NA ,1,1
 Poland ,0.11,0.11,0.27,0.07,0.33,0.33,0.33,0.54,0.08,0.3,0.5,0.25,0.33,0.83,0.42,0.5,0,1,0.79,0, NA ,1,1,0,0.33,0.5,0.5,0,1,1,1, NA 
 Chile ,0.11,0.14,0.5,0.25,0.5,0.12,0.5, NA ,0.5,0,0.3,1,0.62,0.5,1,0.38, NA , NA ,0, NA ,0, NA ,0, NA ,0.5,0.63,1,1, NA ,1,0.67, NA 
 Morocco ,0,0,0,0,0,0,0.5,0.33,0,0.33,0,0,0,0.75,1,1,0.7,0.5,1,0, NA ,0,0.71,0.6, NA ,1,0.5,0, NA ,0.33,0.67,1
 Algeria ,0,0,0.75,0.67,0,0,0,0, NA , NA ,1, NA ,1,0, NA ,0,0.78,0.53,0.8,0,1,0.29,0,0.47, NA ,0,0.33, NA ,0,1,1,0.33
 Nigeria ,0.5,0,0.5,0,0,0.25, NA , NA ,0,0,0,0,0,1,0,0,0.62,0.47, NA ,1, NA ,0.4,0.53,0,0.5,0,0,0, NA , NA ,0, NA 
 Japan ,0,0,0.2,0,0,0.14, NA ,0.5,0,0,0.33,0.5,0.25,0.33,0.5,0.2,0,0.5,0.5,0.67,0.5, NA , NA ,0.5,0,0.5,0.19,0.63,0.48,0.67,1,0.5
 USA ,0.2,0.05,0,0.36,0.17,0.25,0.5,0.17,0.2,0.2,0.67, NA ,0.18,0.25,0,0.33, NA ,1,0.67,0.5,0.38,0,1,1,0.5,0,0.4,0.5,0.83,0.6,0.63, NA 
 Korea Republic ,0.2,0.17,0,0.5,0.5,0.25,1,0, NA ,0,0.14,0.4,0.8,0.5,0,0.36,0.2,1,0.2,0.5,0,0.5,0.67,1,0.81,0.6,0,0.48,0.81,0.5,0.5,0.56
 Australia ,0,0.14,0.25,0.2,0,0.17, NA ,0,0.2,0.5,0.5,0.5,0, NA ,0.33,0.67, NA , NA ,0,1,0,1, NA ,1,0.38,0.5,0.52,0,0.47,0.83,0.63,0.75
 China PR ,0,0,0.5,0,0,1,0, NA ,0,0,0.33,1,0.33,0, NA ,0, NA , NA ,0,0, NA , NA ,1, NA ,0.52,0.17,0.19,0.53,0,0.54,0.67,0.54
 Saudi Arabia ,0,0,0,0,0,0,0,0.33, NA ,0,0.5, NA ,0, NA ,0,0,1, NA ,#VALUE!,0,0,0.67,0, NA ,0.33,0.4,0.5,0.17,0.46,0,1,0.72
 Canada ,0,0,0,0,0,0,0,0, NA ,0,0, NA ,0.25,1,0,0.13, NA , NA ,0,0,0.33,0.33,0,1,0,0.37,0.5,0.38,0.33,0,0, NA 
 Qatar , NA ,0, NA , NA , NA ,0, NA ,0, NA , NA , NA ,0,0,1,0, NA , NA ,0,0, NA , NA ,0,0.67, NA ,0.5, NA ,0.44,0.25,0.46,0.28, NA ,0
