"Country","Wins"
"Spain",99.72
"Brazil",99.6
"France",99.12
"Germany",98.7
"Italy",94.1
"Argentina",92.64
"Portugal",90.14
"Belgium",87.22
"England",84.74
"Netherlands",82.54
"Uruguay",79.36
"Croatia",71.2
"Colombia",64.5
"Switzerland",55.4
"Denmark",48.34
"Mexico",47.6
"Senegal",44.52
"Cote d'Ivoire",42.16
"Turkey",40.68
"Poland",37.4
"Morocco",34.08
"Chile",33.72
"Algeria",16.86
"Nigeria",16.02
"Japan",14.4
"USA",12.72
"Korea Republic",5.86
"Australia",4.06
"China PR",1.56
"Saudi Arabia",0.74
"Canada",0.3
"Qatar",0
