"Country","Averages","Organization"
"Brazil",84.9,"CONMEBOL"
"Argentina",82.5333333333333,"CONMEBOL"
"Uruguay",80.8,"CONMEBOL"
"Colombia",78.2666666666667,"CONMEBOL"
"Japan",74.5333333333333,"AFC"
"Korea Republic",72.7666666666667,"AFC"
"Australia",71.9,"AFC"
"China PR",70.0666666666667,"AFC"
"Spain",84.9333333333333,"UEFA"
"France",84.6,"UEFA"
"Germany",84.2666666666667,"UEFA"
"Italy",82.8333333333333,"UEFA"
"Portugal",82.4,"UEFA"
"Belgium",81.8333333333333,"UEFA"
"England",81.6,"UEFA"
"Netherlands",80.9,"UEFA"
"Croatia",78.8666666666667,"UEFA"
"Switzerland",77.5666666666667,"UEFA"
"Denmark",77.2333333333333,"UEFA"
"Turkey",76.6,"UEFA"
"Poland",76.5,"UEFA"
"Senegal",76.7333333333333,"CAF"
"Ivory Coast",76.7,"CAF"
"Morocco",76.3666666666667,"CAF"
"Algeria",75,"CAF"
"Nigeria",74.7666666666667,"CAF"
"Mexico",77.1666666666667,"CONCACAF"
"United States",74.4,"CONCACAF"
"Canada",68.8,"CONCACAF"
"Chile",76.3666666666667,"CONMEBOL"
"Saudi Arabia",69.2,"AFC"
"Qatar",0,"AFC"
